프로그램명,채널명,인터넷반응점수총합
18어게인,JTBC,44.15
365운명을거스르는1년,MBC,22.71
99억의여자,KBS2,14.72
IDOL,JTBC,5.26
KBS드라마스페셜 2020,KBS2,3.48
간떨어지는 동거,tvN,29.38
간택 - 여인들의 전쟁,TV CHOSUN,12.66
갯마을차차차,tvN,98.85
검사내전,JTBC,12.86
결혼작사이혼작곡,TV CHOSUN,13.56
결혼작사이혼작곡 시즌2,TV CHOSUN,12.95
경로를이탈하였습니다,JTBC,1.52
경이로운소문,OCN,113.06
경찰수업,KBS2,9.81
계약우정,KBS2,4.93
고스트닥터,tvN,2.82
공작도시,JTBC,7.07
구경이,JTBC,8.5
구미호뎐,tvN,67.29
굿캐스팅,SBS,12.98
그남자의기억법,MBC,53.64
그해우리는,SBS,34.45
그놈이그놈이다,KBS2,8.39
꼰대인턴,MBC,42.19
꽃피면달생각하고,KBS2,6.55
나를사랑한스파이,MBC,5.36
나빌레라,tvN,19.12
나의너에게,KBS1,0.21
나의위험한아내,MBN,4.71
날씨가좋으면찾아가겠어요,JTBC,35.79
낭만닥터김사부 2,SBS,89.11
낮과밤,tvN,11.87
내가가장예뻤을때,MBC,11.91
너는나의봄,tvN,20.03
너를 닮은 사람,JTBC,10.3
너의밤이되어줄게,SBS,7.17
달리와감자탕,KBS2,7.5
달이뜨는강,KBS2,28.06
대박부동산,KBS2,8.53
더게임0시를향하여,MBC,9.87
더로드1의비극,tvN,5.05
도도솔솔라라솔,KBS2,25.86
두번은없다,MBC,3.97
드라마스테이지 2020,tvN,1.46
드라마스테이지 2021,tvN,6.32
라이브온,JTBC,15.71
라켓소년단,SBS,16.62
러브씬넘버#,MBC,1.69
런온,JTBC,48.25
로스쿨,JTBC,16.44
루갈,OCN,8.02
루왁인간,JTBC,0.19
루카 : 더 비기닝,tvN,9.58
마녀식당으로오세요,tvN,0.02
마우스,tvN,34.93
마인,tvN,22.08
머니게임,tvN,15.03
멀리서보면푸른봄,KBS2,21.89
메모리스트,tvN,11.71
멜랑꼴리아,tvN,12.86
모범형사,JTBC,8.66
목표가생겼다,MBC,1.77
미쓰리는알고있다,MBC,2.56
미씽그들이있었다,OCN,10.34
미치지않고서야,MBC,5.58
바람과구름과비,TV CHOSUN,14.38
바람피면죽는다,KBS2,7.01
반의반,tvN,19.41
방법,tvN,10.63
번외수사,OCN,5.61
보쌈운명을훔치다,MBN,7.32
복수해라,TV CHOSUN,2.23
본대로말하라,OCN,9.7
본어게인,KBS2,11.22
불가살,tvN,14.97
브람스를좋아하세요,SBS,144.18
블랙독,tvN,22.79
비밀의숲2,tvN,87.65
빈센조,tvN,71.67
사랑은뷰티풀인생은원더풀,KBS2,18.83
사랑의불시착,tvN,313.27
사생활,JTBC,13.67
사이코지만괜찮아,tvN,117.34
산후조리원,tvN,27.46
선배그립스틱바르지마요,JTBC,17.19
설강화:SNOWDROP,JTBC,105.31
쇼윈도:여왕의 집,채널A,9.83
스타트업,tvN,93.4
스폰서,iHQ,1.07
슬기로운의사생활,tvN,113.06
슬기로운의사생활시즌2,tvN,71.05
시지프스,JTBC,15.04
신사와아가씨,KBS2,24.15
십시일반,MBC,3.17
싸이코패스다이어리,tvN,8.38
쌍갑포차,JTBC,17.87
써치,OCN,11.98
아는건별로없지만가족입니다,tvN,13.01
아무도모른다,SBS,10.92
아이를찾습니다,JTBC,2.18
악마판사,tvN,23.87
악의꽃,tvN,88.27
안녕드라큘라,JTBC,6.15
안녕나야,KBS2,4.15
알고있지만,JTBC,28.3
암행어사조선비밀수사단,KBS2,10.67
야식남녀,JTBC,4.85
어느날우리집현관으로멸망이들어왔다,tvN,34.82
어사와조이,tvN,10.5
어서와,KBS2,13.49
어쩌다가족,TV CHOSUN,1.51
엉클,TV CHOSUN,6.59
여신강림,tvN,124.41
연모,KBS2,30.81
연애는귀찮지만외로운건싫어,MBC every1,3.48
영혼수선공,KBS2,10.01
오마이베이비,tvN,12.97
오삼광빌라!,KBS2,16.93
오주인님,MBC,7.47
오월의청춘,KBS2,19.38
오케이광자매,KBS2,12.24
외출,tvN,1.7
우리사랑했을까,JTBC,12.79
월간집,JTBC,9.61
이벤트를확인하세요,MBC,1.76
인간실격,JTBC,16.7
저녁같이드실래요,MBC,11.18
제발그남자만나지마요,MBC every1,2.68
조선구마사,SBS,295.63
좀비탐정,KBS2,5.29
지리산,tvN,35.7
철인왕후,tvN,106.58
청춘기록,tvN,112.94
출사표,KBS2,9.88
카이로스,MBC,25.44
크라임퍼즐,SKY,1.78
키마이라,OCN,3.66
타임즈,OCN,4.4
태종이방원,KBS1,19.55
트레인,OCN,8.66
트웬티트웬티,JTBC,20.25
펜트하우스,SBS,216.11
포레스트,KBS2,11.02
하이바이마마,tvN,64.0
하이클래스,tvN,8.27
하자있는인간들,MBC,10.88
하트가빛나는순간,EBS1,4.36
학교2021,KBS2,6.85
학교기담,TV CHOSUN,1.78
한번다녀왔습니다,KBS2,81.29
한사람만,JTBC,3.49
행복의진수,JTBC,0.71
홈타운,tvN,4.46
홍천기,SBS,37.46
화양연화삶이꽃이되는순간,tvN,11.74
