,채널명,프로그램명,가구평균시청률(%),출연진1,출생1,출연진2,출생2,출연진3,출생3,평균나이대
0,SBS,펜트하우스2,20.63333333,유진,42,김소연,43,이지아,45,43.333333333333336
1,SBS,낭만닥터김사부2,17.35,한석규,59,안효섭,28,이성경,33,40.0
2,SBS,펜트하우스3,15.725,유진,42,김소연,43,이지아,45,43.333333333333336
3,SBS,펜트하우스,14.2,이지아,45,김소연,43,유진,42,43.333333333333336
4,tvN,슬기로운의사생활시즌2,14.1,조정석,43,유연석,39,정경호,40,40.666666666666664
5,tvN,사랑의불시착,14.05,현빈,41,손예진,41,서지혜,39,40.333333333333336
6,KBS2,동백꽃필무렵,13.9,공효진,43,강하늘,33,김지석,42,39.333333333333336
7,SBS,스토브리그,13.25,남궁민,45,박은빈,31,오정세,46,40.666666666666664
8,JTBC,부부의세계,12.83333333,김희애,56,박해준,47,한소희,29,44.0
9,SBS,원더우먼,11.83333333,이하늬,40,진서연,40,이상윤,42,40.666666666666664
10,SBS,모범택시,11.8,이제훈,39,이솜,33,김의성,58,43.333333333333336
11,tvN,철인왕후,10.5,신혜선,34,김정현,33,배종옥,59,42.0
12,tvN,슬기로운의사생활,10.1,조정석,43,유연석,39,정경호,40,40.666666666666664
13,tvN,빈센조,9.975,송중기,38,전여빈,34,옥택연,35,35.666666666666664
14,KBS2,99억의여자,8.7,조여정,42,김강우,45,정웅인,52,46.333333333333336
15,JTBC,이태원클라쓰,8.366666667,박서준,35,김다미,28,유재명,50,37.666666666666664
16,SBS,굿캐스팅,8.266666667,최강희,46,이상엽,40,유인영,39,41.666666666666664
17,tvN,갯마을차차차,7.833333333,신민아,39,김선호,37,이상이,32,36.0
18,KBS2,암행어사조선비밀수사단,7.766666667,김명수,31,권나라,32,이이경,34,32.333333333333336
19,MBC,옷소매붉은끝동,7.7,이준호,33,이세영,31,강훈,32,32.0
20,SBS,홍천기,7.6,안효섭,28,김유정,24,공명,29,27.0
21,KBS2,달이뜨는강,7.5,김소현,24,나인우,29,이지훈,35,29.333333333333332
22,KBS2,연모,7.466666667,박은빈,31,로운,27,남윤수,26,28.0
23,SBS,더킹영원의군주,7.233333333,이민호,36,김고은,32,우도환,31,33.0
24,tvN,지리산,6.866666667,전지현,42,주지훈,41,성동일,59,47.333333333333336
25,KBS2,꽃피면달생각하고,6.8,유승호,30,이혜리,29,변우석,32,30.333333333333332
26,tvN,비밀의숲2,6.566666667,조승우,43,배두나,44,최무성,55,47.333333333333336
27,tvN,청춘기록,6.5,박보검,30,박소담,32,변우석,32,31.333333333333332
28,tvN,마인,6.0,이보영,44,김서형,50,이현욱,38,44.0
