날짜,배우,브랜드평판지수
201702,이영애,3922324
201702,신민아,3376176
201702,남상미,2340288
201702,지성,2304176
201702,남궁민,2141096
201702,윤균상,1842316
201702,박형식,1800916
201702,송승헌,1694484
201702,이하나,1672032
201702,박서준,1663568
201703,박보영,6090891
201703,박형식,4034210
201703,이동건,2782739
201703,지성,2317905
201703,남궁민,2099055
201703,남상미,2068269
201703,장혁,2038406
201703,신민아,1932114
201703,이하나,1876026
201703,이영애,1813107
201704,박보영,5859953
201704,박형식,5108435
201704,장희진,4783157
201704,이보영,3015296
201704,김영철,2471189
201704,이상윤,2383430
201704,최강희,2300141
201704,고아성,1924597
201704,류수영,1911244
201704,이영애,1682971
201705,박해진,4243438
201705,지창욱,4094731
201705,박성웅,4076568
201705,유승호,3356048
201705,김소현,3226111
201705,남지현,3100309
201705,김민정,2631353
201705,유아인,2481357
201705,채정안,2478676
201705,채수빈,2433825
201706,지창욱,11243884
201706,김지원,7829923
201706,남지현,6712912
201706,오연서,6076408
201706,박서준,5948494
201706,여진구,5334436
201706,유승호,5013401
201706,엘,4176000
201706,김소현,4035714
201706,김희선,3885482
201707,지창욱,7647071
201707,박서준,5648213
201707,김지원,5516096
201707,여진구,4290748
201707,김소현,4155485
201707,주원,3951822
201707,김희선,3769931
201707,남지현,3621766
201707,오연서,3432342
201707,유승호,3387062
201710,서현진,14925692
201710,양세종,13077224
201710,하지원,10843117
201710,김남길,10783584
201710,강경준,9966009
201710,배수지,9503511
201710,이종석,9404633
201710,신혜선,7318222
201710,서예지,7291367
201710,박시후,6992535
201711,장나라,14353513
201711,이종석,13292451
201711,송승헌,12634962
201711,하지원,12004824
201711,서현진,11292633
201711,정유미,11290459
201711,양세종,10842083
201711,유지태,10728730
201711,고아라,10192418
201711,한예슬,9656794
201712,신혜선,11090275
201712,양세종,10530701
201712,서현진,10230800
201712,유지태,9858061
201712,조정석,8428453
201712,김재욱,8232340
201712,박시후,7873315
201712,고아라,7798867
201712,강소라,7721116
201712,진구,7469535
201801,신세경,8597394
201801,신혜선,8127203
201801,고준희,5929410
201801,김래원,5802310
201801,채수빈,5648072
201801,서지혜,4827183
201801,유승호,4521886
201801,이승기,4397556
201801,박시후,4357376
201801,백진희,4325939
201802,신혜선,8183381
201802,이승기,7113556
201802,백진희,6703934
201802,이보영,6577596
201802,정유미,6262210
201802,고현정,5474343
201802,신세경,5442819
201802,진구,5406656
201802,고준희,5298569
201802,정진,5209485
201803,김남주,6336101
201803,이승기,6241647
201803,김선아,4495070
201803,감우성,4436730
201803,박진희,4405498
201803,오연서,3916285
201803,신혜선,3812488
201803,신소율,3795684
201803,김명민,3726317
201803,윤두준,3547535
201805,정해인,11094905
201805,손예진,8957819
201805,장소연,4520668
201805,장동건,4497894
201805,박형식,4330323
201805,정유진,4120323
201805,주민경,3732352
201805,정인선,3580575
201805,왕빛나,3179265
201805,한가인,2922398
201806,성동일,10201457
201806,고아라,9196822
201806,박민영,8140627
201806,박서준,7222798
201806,이성경,5276456
201806,이준기,5063104
201806,정려원,5002698
201806,이혜영,4992438
201806,서강준,4959779
201806,이상윤,4856800
201808,박서준,24097237
201808,박민영,18161817
201808,김태리,12964955
201808,차은우,8300742
201808,이병헌,8096942
201808,임수향,6741177
201808,이동욱,6735513
201808,조승우,6257384
201808,김민정,6117039
201808,김정현,5947517
201809,김태리,8811309
201809,신혜선,6834107
201809,한지민,6263602
201809,이병헌,6262765
201809,김민정,6130907
201809,차은우,6008505
201809,이유리,5957255
201809,임수향,5848318
201809,조승우,5722017
201809,알렉스,5438163
201810,한지민,8632700
201810,김태리,8194744
201810,유이,7842385
201810,정인선,7498336
201810,이병헌,7230055
201810,김동욱,6985161
201810,나혜미,6602981
201810,은우,6026655
201810,도경수,5461534
201810,소지섭,5434985
201812,박보검,14837092
201812,송혜교,13334953
201812,현빈,8110227
201812,이설,8106959
201812,한고은,7997611
201812,유이,7967364
201812,김유정,7513980
201812,이민정,7385777
201812,조보아,6344954
201812,박신혜,6338237
201901,염정아,9962269
201901,현빈,9611504
201901,송혜교,9608673
201901,박보검,9608673
201901,유이,8649080
201901,조보아,7977702
201901,박신혜,5771545
201901,왕석현,5273209
201901,장나라,5205709
201906,임수정,6053783
201906,정해인,5394450
201906,한지민,4957074
201906,이엘리야,4937292
201906,김민규,4420866
201906,장기용,4400832
201906,이정제,4261739
201906,박보영,4164977
201906,김지원,4145285
201908,여진구,5978995
201908,이지은,4730925
201908,차은우,4541055
201908,옹성우,4307860
201908,임지연,4204220
201908,지성,4191389
201908,정경호,4069434
201908,이지훈,4023972
201908,이설,3870092
201908,강한나,3782645
201912,공효진,6305680
201912,강하늘,5850440
201912,조여정,4817303
201912,오연서,4179994
201912,하지원,3326399
201912,설인아,2999090
201912,장동윤,2856533
201912,오정세,2435111
201912,윤시윤,2382255
201912,윤계상,2355673
202001,현빈,9152460
202001,손예진,7202962
202001,안효섭,5935172
202001,남궁민,4981206
202001,이성경,3976354
202001,박은빈,3474006
202001,한석규,3333253
202001,서현진,2972626
202001,조여정,2672320
202001,김정현,2661742
202002,현빈,11366256
202002,박서준,8741509
202002,김다미,8733643
202002,손예진,7974609
202002,권나라,7897177
202002,김보라,5324088
202002,안효섭,4950427
202002,서지혜,4755179
202002,김정현,4186164
202002,조병규,3816910
202005,김희애,8535260
202005,한소희,8346968
202005,박해준,5658462
202005,조정석,5583332
202005,유연석,4815017
202005,이민호,4777267
202005,전미도,4711283
202005,정경호,3636148
202005,김고은,3418110
202005,박해진,3223174
202008,김수현,3771464
202008,조승우,3415810
202008,이준기,3290796
202008,서예지,3252755
202008,문채원,2859896
202008,오정세,2110667
202008,이민정,1982469
202008,한다감,1956637
202008,배두나,1952704
202008,신소율,1904487
202009,박보검,7498341
202009,박은빈,4731448
202009,김희선,3861388
202009,김하늘,3825296
202009,박소담,3812227
202009,이준기,3759549
202009,이도현,3554873
202009,김민재,3552878
202009,황신혜,3083850
202009,문채원,2784237
202011,김선호,6024503
202011,남주혁,5787606
202011,이동욱,5503107
202011,박하선,4135259
202011,엄지원,4023076
202011,이도현,3941082
202011,이지아,3868474
202011,김소연,3721672
202011,조보아,3635175
202011,이재욱,3331936
202101,김소연,9344658
202101,차은우,8301999
202101,이지아,7115490
202101,신혜선,6246533
202101,문가영,6168346
202101,김정현,5282854
202101,조병규,5005860
202101,김세정,4864965
202101,엄기준,4480480
202101,김영대,4416487
202103,김소연,5141911
202103,송중기,5123964
202103,이다희,4487022
202103,유진,4461263
202103,최강희,4040890
202103,전여빈,3924012
202103,김소현,3310443
202103,조승우,3266387
202103,이레,3122815
202103,김래원,2877065
202105,송중기,8830758
202105,이제훈,5665327
202105,장나라,4736253
202105,송강,4626873
202105,옥택연,4150800
202105,이승기,3765547
202105,표예진,3710056
202105,정용화,3621975
202105,박인환,3290544
202105,이솜,3097377
