,프로그램명,인터넷반응지수
1,18어게인,47.27924999999999
2,365운명을거스르는1년,23.393333333333334
3,99억의여자,15.725
4,IDOL,5.541333333333333
5,KBS드라마스페셜2020,3.558666666666667
6,KBS드라마스페셜2021,3.11125
7,간떨어지는동거,39.882999999999996
8,간택-여인들의전쟁,14.519
9,갯마을차차차,110.83233333333334
10,거짓말의거짓말,12.232666666666667
11,검사내전,13.975000000000001
12,검은태양,30.09833333333333
13,결혼작사이혼작곡,14.336333333333332
14,결혼작사이혼작곡시즌2,15.075999999999999
15,경로를이탈하였습니다,1.601
16,경우의수,26.03075
17,경이로운소문,102.99633333333334
18,경찰수업,10.5855
19,계약우정,5.0295
20,고스트닥터,3.042
21,공작도시,9.1415
22,괴기맨숀:디오리지널,0.6960000000000001
23,괴물,19.80875
24,구경이,8.770000000000001
25,구미호뎐,78.517
26,구미호레시피,0.7115
27,굿캐스팅,14.73
28,그남자의기억법,56.00149999999999
29,그놈이그놈이다,9.01375
30,그해우리는,40.397000000000006
31,꼰대인턴,43.327000000000005
32,꽃피면달생각하고,6.9295
33,나를사랑한스파이,5.6427499999999995
34,나빌레라,20.751
35,나의너에게,0.21400000000000002
36,나의위험한아내,4.912333333333334
37,날씨가좋으면찾아가겠어요,39.11333333333334
38,날아라개천용,10.58625
39,낭만닥터김사부2,99.22066666666667
40,낮과밤,13.932666666666668
41,내가가장예뻤을때,13.623249999999999
42,너는나의봄,22.252666666666666
43,너를닮은사람,12.988249999999999
44,너의밤이되어줄게,7.322333333333333
45,다크홀,6.054500000000001
46,달리와감자탕,8.5855
47,달이뜨는강,36.4805
48,대박부동산,9.413000000000002
49,더게임0시를향하여,10.218333333333334
50,더로드1의비극,5.497
51,더킹영원의군주,152.2435
52,도도솔솔라라솔,26.7695
53,두번은없다,4.284666666666666
54,드라마스테이지2020,1.503
55,드라마스테이지2021,7.297333333333333
56,디어엠(Dear.M),6.5649999999999995
57,라이브온,19.229000000000003
58,라켓소년단,18.248500000000003
59,러브씬넘버#,1.717
60,런온,38.054
61,로스쿨,18.73825
62,루갈,8.509500000000001
63,루왁인간,0.19299999999999998
64,루카더비기닝,13.427000000000001
65,마녀식당으로오세요,0.025
66,마우스,39.808249999999994
67,마인,31.241666666666667
68,머니게임,16.386666666666667
69,멀리서보면푸른봄,22.549333333333337
70,메모리스트,12.271500000000001
71,멜랑꼴리아,16.255666666666663
72,모범택시,41.53966666666667
73,모범형사,9.379999999999999
74,목표가생겼다,1.799
75,뫼비우스:검은태양,3.212
76,미쓰리는알고있다,2.627
77,미씽그들이있었다,11.190666666666667
78,미치지않고서야,6.0105
79,바람과구름과비,15.002666666666666
80,바람피면죽는다,7.339666666666667
81,반의반,20.420333333333332
82,방법,12.145333333333332
83,배드앤크레이지,7.92
84,번외수사,6.167333333333334
85,보쌈-운명을훔치다,8.0525
86,보이스4,11.906
87,복수해라,2.44425
88,본대로말하라,10.377333333333333
89,본어게인,11.97625
90,부부의세계,346.84333333333336
91,불가살,16.341
92,브람스를좋아하세요,150.0823333333333
93,블랙독,25.912000000000003
94,비밀의숲2,90.79274999999998
95,빈센조,96.4628
96,사랑은뷰티풀인생은원더풀,22.493000000000002
97,사랑의불시착,353.261
98,사생활,14.34975
99,사이코지만괜찮아,126.81325
100,산후조리원,33.608000000000004
101,선배그립스틱바르지마요,17.712249999999997
102,설강화:SNOWDROP,108.233
103,쇼윈도:여왕의집,11.682500000000001
104,스타트업,98.248
105,스토브리그,178.397
106,스폰서,1.07
107,슬기로운의사생활,124.33449999999999
108,슬기로운의사생활2,81.0996
109,시네마틱드라마SF8,1.39275
110,시지프스,19.715000000000003
111,신사와아가씨,30.9388
112,십시일반,3.2513333333333336
113,싸이코패스다이어리,9.181
114,쌍갑포차,18.956333333333333
115,써치,12.796999999999999
116,아는건별로없지만가족입니다,18.449
117,아무도모른다,11.575999999999999
118,아이를찾습니다,2.247
119,악마판사,30.992666666666665
120,악의꽃,94.727
121,악의마음을읽는자들,1.5310000000000001
122,안녕나야,5.364999999999999
123,안녕드라큘라,6.337
124,알고있지만,33.983000000000004
125,암행어사조선비밀수사단,9.732000000000001
126,앨리스,28.59166666666666
127,야식남녀,5.084666666666667
128,어느날우리집현관으로멸망이들어왔다,41.5425
129,어사와조이,12.270666666666667
130,어서와,13.916333333333334
131,어쩌다가족,1.5285714285714285
132,언더커버,5.921250000000001
133,엉클,6.7235
134,엑스엑스(XX),20.382500000000004
135,여신강림,115.81249999999999
136,연모,35.0395
137,연애는귀찮지만외로운건싫어,3.5985
138,영혼수선공,10.493333333333332
139,오!삼광빌라!,18.38825
140,오마이베이비,14.28425
141,오월의청춘,21.408666666666665
142,오주인님,7.7683333333333335
143,오케이광자매,15.681625
144,옷소매붉은끝동,101.80066666666666
145,외출,2.018
146,우리사랑했을까,13.989250000000002
147,우아한친구들,8.05125
148,원더우먼,30.633499999999998
149,월간집,10.895500000000002
150,유미의세포들,38.396
151,유별나!문셰프,4.015
152,이미테이션,13.30125
153,이벤트를확인하세요,1.8133333333333335
154,이태원클라쓰,202.92133333333334
155,인간실격,17.562333333333335
156,저녁같이드실래요,12.555499999999999
157,제발그남자만나지마요,2.8920000000000003
158,조선구마사,301.53099999999995
159,좀비탐정,5.45825
160,지금헤어지는중입니다,37.504
161,지리산,37.37799999999999
162,철인왕후,108.48575
163,청춘기록,118.1565
164,초콜릿,18.683
165,출사표,10.248000000000001
166,카이로스,26.054333333333336
167,크라임퍼즐,2.1196666666666664
168,키마이라,3.7279999999999998
169,타임즈,6.181000000000001
170,태종이방원,19.932999999999996
171,터치,11.6995
172,트레이서,1.2850000000000001
173,트레인,8.788666666666668
174,트웬티트웬티,23.6035
175,펜트하우스,240.15699999999995
176,펜트하우스2,227.7895
177,펜트하우스3,120.5288
178,편의점샛별이,35.021499999999996
179,포레스트,11.851666666666667
180,하이바이마마,72.58124999999998
181,하이에나,40.463750000000005
182,하이클래스,11.43825
183,하자있는인간들,11.427999999999999
184,하트가빛나는순간,5.36875
185,학교2021,7.117666666666667
186,학교기담,1.787
187,한번다녀왔습니다,91.49499999999999
188,한사람만,3.6605
189,해피니스,26.489333333333335
190,행복의진수,0.728
191,허쉬,11.18975
192,홈타운,4.710333333333333
193,홍천기,43.31866666666667
194,화양연화삶이꽃이되는순간,13.816749999999999
