프로그램명,장르1,장르2
펜트하우스2,범죄,스릴러
펜트하우스3,범죄,스릴러
낭만닥터김사부2,의학
사랑의불시착,로맨스,
펜트하우스,범죄,스릴러
슬기로운의사생활시즌2,의학,
모범택시,액션,
빈센조,액션,
스토브리그,스포츠,
원더우먼,로맨스,코미디
철인왕후,사극,
갯마을차차차,로맨스,
지리산,미스터리,
슬기로운의사생활,의학,
굿캐스팅,수사,
홍천기,판타지,사극
더킹영원의군주,판타지,로맨스
하이바이마마,휴먼,
옷소매붉은끝동,사극, 로맨스
비밀의숲2,추리,
앨리스,판타지,
99억의여자,범죄,액션
검은태양,액션,
마우스,수사,
경찰수업,수사,
편의점샛별이,로맨스,
청춘기록,로맨스,
연모,로맨스, 사극
달이뜨는강,사극,
암행어사조선비밀수사단,사극,
마인,미스터리,
구미호뎐,판타지,로맨스
라켓소년단,스포츠,
여신강림,로맨스,
악마판사,법정,미스터리
경이로운소문,액션,퇴마
꽃피면달생각하고,사극,로맨스
불가살,미스터리,판타지
꼰대인턴,코미디,
지금헤어지는중입니다,로맨스,
사이코지만괜찮아,로맨스,코미디
날아라개천용,법정,
대박부동산,퇴마,
어느날우리집현관으로멸망이들어왔다,로맨스,판타지
모범형사,범죄,추리
스타트업,오피스,로맨스
오월의청춘,로맨스,
365운명을거스르는1년,로맨스,판타지
시지프스,액션,미스터리
산후조리원,의학,
브람스를좋아하세요,로맨스,
낮과밤,추리,미스터리
로스쿨,법정,
해피니스,액션,판타지
간떨어지는동거,판타지,로맨스
그해우리는,로맨스,
보이스시즌4,추리,수사
방법,미스터리,판타지
악의꽃,추리,로맨스
안녕나야,로맨스,
더게임0시를향하여,미스터리,범죄
달리와감자탕,로맨스,
저녁같이드실래요,로맨스,
화양연화삶이꽃이되는순간,로맨스,
그남자의기억법,추리,수사
블랙독,휴먼,
18어게인,판타지,로맨스
하이클래스,미스터리,
배드앤크레이지,액션,판타지
뫼비우스:검은태양,액션,
싸이코패스다이어리,미스터리,추리
메모리스트,판타지,추리
미쓰리는알고있다,미스터리,수사
아는건별로없지만가족입니다,휴먼
미치지않고서야,오피스,
쌍갑포차,판타지,
검사내전,법정,추리
어사와조이,사극,로맨스
런온,스포츠,로맨스
나빌레라,휴먼,스포츠
좀비탐정,액션,판타지
내가가장예뻤을때,휴먼,
나를사랑한스파이,로맨스,
그놈이그놈이다,로맨스 코미디
바람피면죽는다,로맨스,코미디
홈타운,미스터리,추리
도도솔솔라라솔,로맨스,
출사표,정치,오피스
하자있는인간들,로맨스,
카이로스,판타지,미스터리
목표가생겼다,로맨스,
계약우정,로맨스,코미디
십시일반,미스터리,추리
너는나의봄,로맨스,미스터리
본어게인,판타지,로맨스
선배그립스틱바르지마요,오피스, 로맨스
영혼수선공,의학,
설강화:SNOWDROP,로맨스,판타지
공작도시,미스터리,추리
번외수사,액션,수사
써치,추리,수사
멜랑꼴리아,로맨스,
미씽그들이있었다,판타지,수사
동백꽃필무렵,미스터리,로맨스
더로드1의비극,미스터리,
인간실격,휴먼,
날씨가좋으면찾아가겠어요,로맨스,
오주인님,로맨스,코미디
우리사랑했을까,로맨스,코미디
반의반,로맨스,
본대로말하라,추리,수사
사생활,추리,로맨스
오마이베이비,휴먼,로맨스
멀리서보면푸른봄,청춘,
너를닮은사람,미스터리,로맨스
연애는귀찮지만외로운건싫어,로맨스,코미디
학교2021,청춘,
구경이,액션,코미디
루갈,액션,판타지
이태원클라쓰,로맨스,청춘
다크홀,판타지,미스터리
언더커버,정치,액션
안녕드라큘라,휴먼
제발그남자만나지마요,로맨스,코미디
부부의세계,미스터리, 로맨스
라이브온,청춘,
트레인,판타지,미스터리
허쉬,오피스,로맨스
야식남녀,로맨스,
IDOL,청춘,로맨스
손THEGUEST,판타지,미스터리
트랩,액션,추리
